url,title,description,image,date,hnurl
https://www.bleepingcomputer.com/news/security/winrar-zero-day-exploited-since-april-to-hack-trading-accounts/,WinRAR zero-day exploited since April to hack trading accounts,"A WinRar zero-day vulnerability tracked as CVE-2023-38831 was actively exploited to install malware when clicking on harmless files in an archive, allowing the hackers to breach online cryptocurrency trading accounts.",https://www.bleepstatic.com/content/hl-images/2022/08/21/compressed-folder-light-rays.jpg,2023-08-23T17:44:53.109356712Z,https://news.ycombinator.com/item?id=37236100
https://www.rmit.edu.au/news/all-news/2023/aug/coffee-concrete,Coffee offers performance boost for concrete - RMIT University,"Engineers in Australia have found a way of making stronger concrete with roasted used-coffee grounds, to give the drink-additive a “double shot” at life.",https://www.rmit.edu.au/content/dam/rmit/rmit-images/news/2023/aug/coffee-concrete/news-coffeeconcretedemo-1220px.jpg,2023-08-23T17:53:32.935561215Z,https://news.ycombinator.com/item?id=37234404
https://www.masteringemacs.org/,Mastering Emacs,,,2023-08-23T17:54:51.674371199Z,https://news.ycombinator.com/item?id=33785631
https://fasterthanli.me/articles/a-half-hour-to-learn-rust,A half-hour to learn Rust,"In order to increase fluency in a programming language, one has to read a lot of it. But how can you read a lot of it if you don't know what it means? In this article, instead o...",https://fasterthanli.me/img/logo-square-2.png,2023-08-23T22:34:32.415864849Z,https://news.ycombinator.com/item?id=25610741
https://minimaxir.com/2023/08/stable-diffusion-xl-wrong/,I Made Stable Diffusion XL Smarter by Finetuning it on Bad AI-Generated Images | Max Woolf's Blog,And then telling it to not generate those images!,https://minimaxir.com/2023/08/stable-diffusion-xl-wrong/featured.webp,2023-08-23T22:55:33.651271777Z,https://news.ycombinator.com/item?id=37211519
https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-second-quarter-fiscal-2024,NVIDIA Announces Financial Results for Second Quarter Fiscal 2024 | NVIDIA Newsroom,"NVIDIA today reported revenue for the second quarter ended July 30, 2023, of $13.51 billion, up 101% from a year ago and up 88% from the previous quarter.",,2023-08-24T02:42:20.693888533Z,https://news.ycombinator.com/item?id=37241487
https://bun.sh/blog/bun-v0.8.0,Bun v0.8.0 | Bun Blog,"Bun gets debugger support, fetch streaming, and `bun update`. ReadStream and WriteStream from `node:tty` are implemented, including raw mode on `process.stdin`. SvelteKit now works in Bun. Plus bug fixes and stability improvements.",https://bun.sh/og/blog/bun-v0.8.0.jpg,2023-08-24T02:43:03.357662134Z,https://news.ycombinator.com/item?id=37244012
https://ongchinhwee.me/shitoberfest-ruin-hacktoberfest/,#Shitoberfest: How free T-shirts ruined #Hacktoberfest2020 – Hwee's Portfolio – Data Engineer. Loves things that fly.,"Hacktoberfest is an annual event organized by DigitalOcean that celebrates open-source contributions. Occuring every October, the goal of Hacktoberfest is to encourage developers (of all backgrounds and skill level) and companies to make positive contributions to the open-source community. All these sound like an initiative with good intentions on paper - incentivise developers to contribute to open-source projects. Unfortunately, the organizers underestimated the extent of what people are willing to do for the sake of getting free T-shirts (or freebies in general).",https://ongchinhwee.me/images/speakingpic.jpg,2023-08-24T03:24:29.144876506Z,https://news.ycombinator.com/item?id=37239112
https://www.nytimes.com/2023/08/23/opinion/columnists/what-can-replace-china-as-a-global-economic-engine.html,Opinion | What Can Replace China as a Global Economic Engine? - The New York Times,Much of the world’s economic fate hangs on the speed and scale of the green transition.,https://static01.nyt.com/images/2023/08/27/magazine/27mag-climate/27mag-climate-facebookJumbo.jpg,2023-08-24T05:02:34.015485164Z,
https://github.com/orgs/community/discussions/64625,"""Forgot Password"" Captcha Unnecessarily Hard · community · Discussion #64625","Select Topic Area Bug Body After 5 or so tries of a dice sum captcha that asks me to select the dice that count up to 14, I fail because I can't do sums quickly under pressure. It's now impossible ...",https://opengraph.githubassets.com/688f3ac3648d0489925c6087b36ea1aac4699198fa169a0318ca6edfefc05fdb/orgs/community/discussions/64625,2023-08-24T15:44:26.046173667Z,https://news.ycombinator.com/item?id=37234415
https://www.bloomberg.com/news/features/2023-07-20/south-africa-s-private-sector-is-key-to-stopping-the-failed-state-cycle#xj4y7vzkg,Why South Africa Is on the Brink of Chaos - Bloomberg,"Corruption, government incompetence and policy paralysis risk turning Africa’s most-industrialized nation into a failing state, leaving the ANC struggling to hang on to power",https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ih6sijy93txc/v0/1200x800.jpg,2023-08-25T01:48:00.175736698Z,
https://www.chess.com/news/view/abhimanyu-mishra-youngest-grandmaster-in-chess-history,Abhimanyu Mishra Becomes Youngest Grandmaster In Chess History - Chess.com,"IM Abhimanyu Mishra became the youngest chess grandmaster in history today. The 12-year-old player from New Jersey scored his third GM norm in Budapest, having already crossed the required 2500 Elo rating barrier. Mishra (often called ""Abhi"") broke GM Sergey Karjakin's record that has stood for 19 years.",https://images.chesscomfiles.com/uploads/v1/news/950721.6bf35742.5000x5000o.4c5816f1a138.png,2023-08-25T21:45:18.859817673Z,https://news.ycombinator.com/item?id=27692040
https://factorio.com/blog/post/fff-373,Friday Facts #373 - Factorio: Space Age | Factorio,"Hello, long time no see!  Today we are going to talk about the expansion which is called Factorio: Space Age.          Mp4 playback not supported on your device.    (Click here for static image version)     What is Factorio: Space Age?kovarex    Factorio: Space Age continues the player's journey after launching rockets into space. Discover new worlds with unique challenges, exploit their novel resources for advanced technological gains, and manage your fleet of interplanetary space platforms.     Vanilla Factorio ends by launching the rocket into space, so I always expected it to be quite obvious what we are going to do next.  Honestly the space platform related gameplay was actually planned a very long time ago, and we had shown a little bit in FFF-74. ...",https://cdn.factorio.com/assets/img/blog/fff-373-thumbnail.png,2023-08-26T04:39:44.091523936Z,https://news.ycombinator.com/item?id=37260637
https://blog.phylum.io/rust-malware-staged-on-crates-io/,Rust Malware Staged on Crates.io,"Phylum routinely identifies malware and other software supply chain attacks targeting high-value, critical assets: an organization’s software developers. Most recently, we’ve reported on a flurry of sophisticated attacks targeting JavaScript developers, respawning malware on PyPI, and were the first to identify North Korean state actors publishing malicious packages",https://blog.phylum.io/content/images/2023/08/evil-crab.png,2023-08-26T05:15:55.940009961Z,https://news.ycombinator.com/item?id=37259786
https://skventures.substack.com/p/ai-isnt-good-enough,AI Isn’t Good Enough - by SK Ventures,"On a recent cross-country trip—I (Paul) drove from California to Illinois and back again. On the drive, I saw a sign I had never seen before: In a McDonald’s window it said $1,000 SIGNING BONUS. That was not a thing when I was a teenager doing minimum-wage jobs. No one paid you $1,000 signing bonuses to work for fast-food restaurants.","https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fcbf14608-094d-4a5e-8522-94f7ef63b318_1316x444.png",2023-08-26T05:19:09.52271916Z,https://news.ycombinator.com/item?id=37256577
https://pointieststick.com/2023/08/18/this-week-in-kde-double-click-by-default/,This week in KDE: Double-click by default – Adventures in Linux and KDE,"This was a week of huge changes and improvements, starting with our headliner! Yes it’s true, by default in Plasma 6, you’ll single-click to select files and folders, and double-click t…",https://pointieststick.files.wordpress.com/2023/08/image-9.png,2023-08-26T14:18:26.951516717Z,https://news.ycombinator.com/item?id=37270048
https://drewdevault.com/2022/05/25/Google-has-been-DDoSing-sourcehut.html,Google has been DDoSing SourceHut for over a year,,,2023-08-26T14:34:06.854044448Z,https://news.ycombinator.com/item?id=31508000
https://arstechnica.com/gadgets/2019/03/calc-exe-is-now-open-source-theres-surprising-depth-in-its-ancient-code/,calc.exe is now open source; there’s surprising depth in its ancient code | Ars Technica,The actual calculation engine is more than 20 years old.,https://cdn.arstechnica.net/wp-content/uploads/2019/03/calculator-760x380.jpg,2023-08-26T15:02:59.518564563Z,https://news.ycombinator.com/item?id=26579481
https://www.bbc.com/news/business-56510574,"Nationwide tells 13,000 staff to 'work anywhere' - BBC News",The UK's biggest building society says it wants to give employees more control over their lives.,https://ichef.bbci.co.uk/news/1024/branded_news/B12E/production/_117685354_mediaitem92496561.jpg,2023-08-26T15:08:38.227606198Z,https://news.ycombinator.com/item?id=25356967
https://news.osu.edu/lack-of-sleep-stress-can-lead-to-symptoms-resembling-concussion/,"Lack of sleep, stress can lead to symptoms resembling concussion","A new study suggests that a lot of people might be going through life with symptoms that resemble concussion – a finding supporting researchers’ argument that athletes recovering from a brain injury should be assessed and treated on a highly individualized basis.In the national study, between 11% and 27% of healthy college athletes with no histo...",https://content.presspage.com/uploads/2170/1920_gettyimages-1201462136.jpg?10000,2023-08-27T18:06:32.350931544Z,https://news.ycombinator.com/item?id=25891678
https://solutional.ee/blog/2023-08-26-Prisoners-of-Google-Android-Development.html,Prisoners of Google Android Development | Solutional,A real-life case-study of how things can get really bad really fast when developing Android (or iOS) apps.,https://solutional.ee/img/blog/prisoners-of-google-android-development.jpg,2023-08-27T23:15:31.524231263Z,https://news.ycombinator.com/item?id=37280972
https://www.tomshardware.com/features/intel-core-i9-12900ks-world-record-78-ghz-8-cores,Core i9-12900KS World Record: How I Hit 7.8 GHz on 8 Cores | Tom's Hardware,70 liters of liquid nitrogen works wonders.,https://cdn.mos.cms.futurecdn.net/KA7FPif6a6egeAuBov6x65-1200-80.jpg,2023-08-28T01:26:28.231381309Z,https://news.ycombinator.com/item?id=31095363
https://balintreczey.hu/blog/firefox-on-ubuntu-22-04-from-deb-not-from-snap/,"Firefox on Ubuntu 22.04 (and 22.10, 23.04, and later) from .deb (not from snap) | Obsessed with reality","It is now widely known that Ubuntu 22.04 LTS (Jammy Jellyfish) ships Firefox as a snap, but some people (like me) may prefer installing it from .deb packages to retain control over upgrades or to keep extensions working.    Luckily there is still a PPA serving firefox (and thunderbird) debs at https://launchpad.net/~mozillateam/+archive/ubuntu/ppa maintained by the Mozilla Team. (Thank you!)    You can block the",https://balintreczey.hu/blog/wp-content/uploads/2022/04/Firefox_logo_2019.svg_2.png,2023-08-28T01:30:09.414697525Z,https://news.ycombinator.com/item?id=31138413
https://ericdraken.com/pfsense-decrypt-ad-traffic/,Block YouTube Ads on AppleTV by Decrypting and Stripping Ads from Profobuf,"Apple TV and iOS YouTube ads are not blocked by Pi-hole, so I researched this and discovered a flaw in Protobuf that allows me to restrict YouTube ads.",,2023-08-28T05:07:47.149239978Z,https://news.ycombinator.com/item?id=37279109
https://nbailey.ca/post/win11-will-create-trash/,Windows 11 will create heaps of needless trash,"The latest announcements for Windows 11 have revealed that the next version of the Windows operating system will have very stringent hardware requirements. Some of them are, in my opinion, quite reasonable. For example, they’re finally dropping support for 32 bit X86 and legacy BIOS boot. These make sense, because almost every PC manufactured since 2011 has supported X64 and UEFI. It also sheds a substantial amount of technical debt and cruft, and simplifies the system slightly.",,2023-08-28T14:12:38.232476969Z,https://news.ycombinator.com/item?id=27655069
https://builtformars.com/case-studies/youtube-shorts,A UX case study on YouTube Shorts ✌️,"A user experience (UX) case study, showing what they've done right, and what they could improve on. Learn about UX design with Built for Mars.",https://content.builtformars.com/uploads/images/_1200x630_crop_center-center_82_none/Youtube-featured-image.jpg?mtime=1655974330,2023-08-28T14:14:27.449045768Z,https://news.ycombinator.com/item?id=27615402
https://arstechnica.com/tech-policy/2021/07/ajit-pai-apparently-mismanaged-9-billion-fund-new-fcc-boss-starts-cleanup/,Ajit Pai apparently mismanaged $9 billion fund—new FCC boss starts “cleanup” | Ars Technica,Starlink and other ISPs may have to give up money that Pai shouldn't have awarded.,https://cdn.arstechnica.net/wp-content/uploads/2021/07/getty-money-grate-760x380.jpg,2023-08-28T14:28:02.297605005Z,https://news.ycombinator.com/item?id=27984085
https://news.ycombinator.com/item?id=37297304,ChatGPT Enterprise | Hacker News,,,2023-08-28T21:44:19.384640721Z,
https://openai.com/blog/introducing-chatgpt-enterprise,Introducing ChatGPT Enterprise,Get enterprise-grade security & privacy and the most powerful version of ChatGPT yet.,https://images.openai.com/blob/69bcfc7e-c883-4bdc-a60d-2188f7f4519b/introducing-chatgpt-enterprise.png?trim=0%2C0%2C0%2C0,2023-08-28T21:44:52.194443638Z,https://news.ycombinator.com/item?id=37297304
